date,stuffing_interest
7/1/2014,0
7/2/2014,0
7/3/2014,0
7/4/2014,0
7/5/2014,0
7/6/2014,0
7/7/2014,0
7/8/2014,0
7/9/2014,0
7/10/2014,0
7/11/2014,0
7/12/2014,0
7/13/2014,0
7/14/2014,0
7/15/2014,0
7/16/2014,0
7/17/2014,0
7/18/2014,0
7/19/2014,0
7/20/2014,0
7/21/2014,0
7/22/2014,0
7/23/2014,0
7/24/2014,0
7/25/2014,0
7/26/2014,0
7/27/2014,0
7/28/2014,0
7/29/2014,0
7/30/2014,0
7/31/2014,0
8/1/2014,0
8/2/2014,0
8/3/2014,0
8/4/2014,0
8/5/2014,0
8/6/2014,0
8/7/2014,0
8/8/2014,0
8/9/2014,0
8/10/2014,0
8/11/2014,0
8/12/2014,0
8/13/2014,0
8/14/2014,0
8/15/2014,0
8/16/2014,0
8/17/2014,1
8/18/2014,0
8/19/2014,0
8/20/2014,0
8/21/2014,0
8/22/2014,0
8/23/2014,0
8/24/2014,0
8/25/2014,0
8/26/2014,0
8/27/2014,0
8/28/2014,0
8/29/2014,0
8/30/2014,0
8/31/2014,0
9/1/2014,0
9/2/2014,0
9/3/2014,0
9/4/2014,0
9/5/2014,0
9/6/2014,0
9/7/2014,0
9/8/2014,0
9/9/2014,0
9/10/2014,0
9/11/2014,0
9/12/2014,0
9/13/2014,0
9/14/2014,0
9/15/2014,0
9/16/2014,0
9/17/2014,0
9/18/2014,0
9/19/2014,0
9/20/2014,1
9/21/2014,1
9/22/2014,0
9/23/2014,0
9/24/2014,0
9/25/2014,0
9/26/2014,0
9/27/2014,0
9/28/2014,1
9/29/2014,0
9/30/2014,0
10/1/2014,0
10/2/2014,0
10/3/2014,0
10/4/2014,1
10/5/2014,1
10/6/2014,0
10/7/2014,1
10/8/2014,0
10/9/2014,1
10/10/2014,1
10/11/2014,1
10/12/2014,1
10/13/2014,0
10/14/2014,0
10/15/2014,0
10/16/2014,0
10/17/2014,0
10/18/2014,1
10/19/2014,0
10/20/2014,0
10/21/2014,1
10/22/2014,1
10/23/2014,1
10/24/2014,1
10/25/2014,1
10/26/2014,0
10/27/2014,0
10/28/2014,1
10/29/2014,1
10/30/2014,0
10/31/2014,0
11/1/2014,0
11/2/2014,2
11/3/2014,0
11/4/2014,2
11/5/2014,3
11/6/2014,1
11/7/2014,2
11/8/2014,3
11/9/2014,3
11/10/2014,3
11/11/2014,2
11/12/2014,2
11/13/2014,4
11/14/2014,3
11/15/2014,6
11/16/2014,7
11/17/2014,6
11/18/2014,8
11/19/2014,9
11/20/2014,9
11/21/2014,11
11/22/2014,20
11/23/2014,20
11/24/2014,23
11/25/2014,25
11/26/2014,53
11/27/2014,100
11/28/2014,12
11/29/2014,12
11/30/2014,8
